DATE,CPIAUCSL_PC1
2022-01-01,7.59528
2022-02-01,7.95485
2022-03-01,8.51522
2022-04-01,8.22777
2022-05-01,8.50233
2022-06-01,8.93299
2022-07-01,8.41318
2022-08-01,8.22736
2022-09-01,8.21485
2022-10-01,7.76249
2022-11-01,7.13535
2022-12-01,6.44494
2023-01-01,6.34716
